Segment,SKU Short Code,Variant Name,SKU Size,Delhi,Mumbai/Thane
Daily Regular,IG Everyday 5,IG Everyday,5.0,389.371875,398.42812499999997
Daily Regular,IG Rozzana 5,IG Rozzana,5.0,463.33124999999995,472.3875
Economy,IG Mogra 10,IG Mogra,10.0,706.2937499999999,724.40625
Economy,IG Mini Mogra II 10,IG Mini Mogra II,10.0,458.75624999999997,479.8875
Economy,IG Mini Mogra 10,IG Mini Mogra,10.0,597.61875,615.7312499999999
Daily Premium,IG Daily Premium 5,IG Daily Premium,5.0,523.70625,532.7624999999999
Economy,IG Daily Delight 5,IG Daily Delight,5.0,0.0,0.0
Premium,IG Super 5,IG Super,5.0,793.884375,801.43125
Economy,IG Mogra 5,IG Mogra,5.0,369.75,380.31562499999995
Economy,IG Mini Mogra 5,IG Mini Mogra,5.0,304.84687499999995,313.903125
Daily Premium,IG Dubar 1,IG Dubar,1.0,127.68375,129.193125
Daily Regular,IG Rozzana 1,IG Rozzana,1.0,93.27,95.08125
Premium,IG Super 1.5,IG Super,1.5,229.89119318181818,231.94943181818178
Daily Regular,IG Everyday 1,IG Everyday,1.0,78.47812499999999,80.28937499999999
Premium,IG Classic 1,IG Classic,1.0,212.20874999999998,213.718125
Daily Regular,IG Everyday 10,IG Everyday,10.0,0.0,0.0
Daily Premium,IG Dubar 5,IG Dubar,5.0,635.4,642.946875
Daily Regular,IG Rozzana 5,IG Rozzana,5.0,413.52187499999997,422.57812499999994
Economy,Unity Mini Mogra 10,Unity Mini Mogra,10.0,504.03749999999997,525.16875
Premium,IG Classic 5,IG Classic,5.0,1103.3062499999999,1109.34375
Regional,IG Jeera 1,IG Jeera,1.0,220.963125,223.37812499999998
Regional,IG Jeera 5,IG Jeera,5.0,0.0,0.0
Premium,IG Biryani 1,IG Biryani,1.0,176.889375,178.39875
Premium,IG Biryani 0.5,IG Biryani,0.5,89.04843749999999,89.803125
Health,IG Brown 1,IG Brown,1.0,116.21249999999999,118.325625
Economy,IG Mogra 10,IG Mogra,10.0,573.46875,591.58125
Daily Regular, IG Everyday 5, IG Everyday,5.0,389.371875,398.42812499999997
Daily Premium,IG Tibar 5,IG Tibar,5.0,665.5875,673.134375
Economy,IG Daily Delight 10,IG Daily Delight,10.0,0.0,0.0
Daily Premium,IG Dubar 2,IG Dubar,2.0,297.62999999999994,300.64874999999995
Daily Premium,IG Pulav 0.5,IG Pulav,0.5,0.0,0.0
Economy,IG Mini Mogra II 5,IG Mini Mogra II,5.0,235.41562499999998,245.98125
Daily Premium,IG Pulav 1,IG Pulav,1.0,124.966875,126.77812499999999
Daily Premium,IG Tibar 1,IG Tibar,1.0,133.72125,135.230625
Daily Regular,IG Rozzana 5,IG Rozzana,5.0,0.0,0.0
Regional,IG Gobindobhog Rice 1,IG Gobindobhog Rice,1.0,245.41500000000002,247.528125
Premium,IG Classic Cutlery 1,IG Classic Cutlery,1.0,0.0,0.0
Daily Regular,IG Rozzana 1,IG Rozzana,1.0,0.0,0.0
Regional,IG Gobindobhog Rice 5,IG Gobindobhog Rice,5.0,1224.0562499999999,1234.6218749999998
Daily Premium,IG Pulav 5,IG Pulav,5.0,621.815625,630.8718749999999
Health,IG Brown 5,IG Brown,5.0,588.609375,597.665625
Daily Premium,IG Daily Premium 1,IG Daily Premium,1.0,105.34499999999998,107.15624999999999
Health,IG Brown 5,IG Brown,5.0,457.29375,466.34999999999997
Daily Regular,IG Rozzana 10,IG Rozzana,10.0,878.3625,896.4749999999999
Regional,IG Sona Masoorie 10,IG Sona Masoorie,10.0,0.0,0.0
Premium,IG Classic 0.5,IG Classic,0.5,0.0,0.0
Premium,IG Biryani 5,IG Biryani,5.0,881.4281249999999,888.9749999999999
Health,IG BROWN 1,IG BROWN,1.0,0.0,0.0
Health,IG Uplife Lite Everyday 1,IG Uplife Lite Everyday,1.0,93.27,95.08125
Regional,IG Jeera 2,IG Jeera,2.0,484.18874999999997,489.01874999999995
Health,IG Quinoa 0.5,IG Quinoa,0.5,124.6696875,125.27343749999999
Daily Regular,IG Rozzana 10,IG Rozzana,10.0,0.0,0.0
Daily Premium,IG SELECT 1.2,IG SELECT,1.2,181.47599999999997,183.6495
Regional,IG Sona Masoorie 5,IG Sona Masoorie,5.0,0.0,0.0
Daily Premium,IG Select 6,IG Select,6.0,911.0024999999999,923.68125
Premium,IG Classic 2,IG Classic,2.0,425.02125,428.04
Regional,IG Sona Masoorie 26,IG Sona Masoorie,26.0,0.0,0.0
Daily Premium,Unity Super 5,Unity Super,5.0,695.775,704.83125
Health,IG Quinoa 0.2,IG Quinoa,0.2,52.282875000000004,52.58475
Daily Regular,Unity Rozzana 5,Unity Rozzana,5.0,0.0,0.0
Daily Premium,Unity Dubar 5,Unity Dubar,5.0,445.21874999999994,454.275
Health,IG Black 0.5,IG Black,0.5,0.0,0.0
Daily Premium,Unity Dubar 1,Unity Dubar,1.0,89.6475,91.45875000000001
Regional,IG Wada Kolam 5,IG Wada Kolam,5.0,0.0,0.0
Regional,IG Sona Masoorie 1,IG Sona Masoorie,1.0,0.0,0.0
Premium,IG Traditional 1,IG Traditional,1.0,181.71937499999999,183.22875
Health,IG Brown 1,IG Brown,1.0,92.0625,93.87375
Health,IG BROWN 1,IG BROWN,1.0,117.721875,119.533125
Daily Regular,IG Rozzana 1,IG Rozzana,1.0,83.308125,85.119375
Daily Regular,IG Rozzana 10,IG Rozzana,10.0,784.7812499999999,802.89375
Economy,IG Mogra 1,IG Mogra,1.0,74.55375000000001,76.66687499999999
Premium,IG Super 1.1,IG Super,1.1,185.28056250000003,186.94087500000003
Premium,IG Super 5.5,IG Super,5.5,923.0821874999999,931.38375
Regional,Bemisal Shahi Pakwan 1,Bemisal Shahi Pakwan,1.0,60.06375,62.176874999999995
Daily Premium,Unity Premium 1,Unity Premium,1.0,118.92937500000001,120.740625
Regional,IG Wada Kolam 10,IG Wada Kolam,10.0,0.0,0.0
Regional,IG Wada Kolam 1,IG Wada Kolam,1.0,0.0,0.0
Regional,Zabreen Premium 10,Zabreen Premium,10.0,0.0,0.0
Regional,IG Sona Masoorie 5,IG Sona Masoorie,5.0,332.015625,342.58124999999995
Regional,Shahi Pakwan 5,Shahi Pakwan,5.0,280.696875,291.2625
Regional,Ponni 30,Ponni,30.0,0.0,0.0
Regional,Biryani 30,Biryani,30.0,4238.04375,4301.4375
Regional,Wada Kolam 30,Wada Kolam,30.0,0.0,0.0
Regional,Super Tibar 10,Super Tibar,10.0,1032.31875,1053.4499999999998
Regional,Tibar 30,Tibar,30.0,1983.0375,2046.4312499999999
Regional,Tibar 30,Tibar,30.0,2200.3875,2263.78125
Regional,Dubar 30,Dubar,30.0,1512.1125,1575.50625
Regional,Dubar 30,Dubar,30.0,1765.6874999999998,1829.08125
Regional,Super 30,Super,30.0,4527.84375,4591.237499999999
Daily Regular,Feast Rozzana 30,Feast Rozzana,30.0,2562.6375,2626.03125
Regional,Supreme 1,Supreme,1.0,142.17374999999998,143.683125
Regional,Supreme 1,Supreme,1.0,134.92875,136.43812499999999
ECONOMY,Tibar 10,Tibar,10.0,742.51875,763.65